Dexrazoxane|C1333|||Chemotherapy-induced cardiomyopathy|
Dexrazoxane Hydrochloride|C66945|||severe side effects caused by certain types of chemotherapy including extravasation, cardiac side effects by doxorubicin.|
Dextroamphetamine-Amphetamine|C26643|||Attention deficit hyperactive disorder; Narcolepsy|
Diazoxide|C428|||Malignant Hypertension|
Diclofenac Sodium|C47984|||Osteoarthritis; Ophthalmic Inflammation|
Diethylstilbestrol|C433|||Breast cancer; Prostate cancer|
Digitoxin|C2634|||Atrial Fibrillation; Atrial Flutter; Congestive Heart Failure; Supraventricular Tachyarrhythmias.|
Dimesna|C1365|||Ifosfamide-induced hemorrhagic cystitis, prophylaxis|
Docetaxel|C1526|||Breast cancer; Esophageal cancer; Gastric cancer; Head/Neck cancers; Locally Advanced or Metastatic Non small-cell lung cancer; Ovarian cancer; Metastatic Prostate cancer|
Dolasetron Mesylate|C1153|||Nausea and vomiting prophylaxis, chemotherapy-induced and postoperative|
Donepezil Hydrochloride|C2603|||Alzheimers disease and opioid-induced sedation.|
Doripenem|C65470|||Intraabdominal Infection, Urinary Tract Infection|
Doxepin|C65475|||Insomnia|
Doxercalciferol|C2645|||Secondary hyperparathyroidism in end stage renal disease in patients on hemodialysis.|
Doxorubicin Hydrochloride|C1326|||Acute Lymphoblastic Leukemia; Acute Myeloid Leukemia; Wilms' tumor; neuroblastoma; soft tissue and bone sarcomas; small cell carcinoma of the lung; lymphomas; multiple myeloma; mesotheliomas; germ cell tumors of the ovary or testis.|
Doxorubicin Hydrochloride|C1326|||Carcinomas of breast, thyroid, gastric, ovarian, bronchogenic, head and neck, prostate, cervical, pancreatic, uterine, hepatic, and transitional cell bladder carcinomas.|
Droxidopa|C73266|||Neurogenic hypotension|
Dulanermin|C1685|||metastatic non-small cell lung cancer|
Duloxetine|C65495|||Generalized Anxiety Disorder, Diabetic Peripheral Neuropathic Pain, Major Depressive Disorder|
Duvoglustat|C87373|||Pompe Disease|
Duvoglustat Hydrochloride|C87374|||Pompe Disease|
Eflornithine|C226|||Hirsutism, facial; Trypanosoma brucei gambiense (sleeping sickness) infection|
Efungumab|C87763|||C. albicans infection|
Eltrombopag Olamine|C62501|||Chronic Idiopathic Thrombocytopenic Purpura|
Eplivanserin|C65517|||Insomnia|
Eplivanserin Hemifumarate|C95215|||Insomnia|
Epoetin Beta|C26639|||Anemia associated with end-stage renal disease|
Erlotinib Hydrochloride|C2693|||Malignant glioma; Locally advanced or metastic non-small cell lung carcinoma; Locally advanced, unresectable or metastatic pancreatic carcinoma|
Escitalopram Oxalate|C47518|||Major Depressive Disorder in Adolescents|
Estradiol|C2295|||Advanced androgen-dependent prostate cancer, palliative; Breast cancer, palliative; Estrogen replacement; Menopausal symptoms; Postmenopausal osteoporosis|
Estramustine|C479|||Prostate Neoplasm|
Estrogens, Conjugated|C482|||Advanced androgen-dependent prostate cancer, palliative; Breast cancer, palliative; Estrogen replacement; Menopausal symptoms; Postmenopausal osteoporosis|
Eszopiclone|C65545|||Insomnia|
Etanercept|C2381|||juvenile arthritis; psoriatic arthritis; rheumatoid arthritis.|
Ethinyl Estradiol|C486|||Advanced androgen-dependent prostate cancer, palliative; Breast cancer, palliative; Estrogen replacement; Menopausal symptoms; Postmenopausal osteoporosis|
Ethiodized Oil|C487|||Diagnostic imaging, hysterosalpingography and lymphography|
Ethyl Icosapentate|C72986|||Treatment of hypertriglyceridemia|
Etidronate Disodium|C831|||hypercalcemia of malignancy.|
Etoposide|C491|||Acute leukemia; Adrenal cortical cancer; Brain cancer; Chronic Lymphocytic leukemia; Choriocarcinoma; Esophageal cancer; Ewing's sarcoma; Gastric cancer; Germ Cell cancer; Gestational trophoblastic neoplasms; Hepatocellular cancer; Hodgkin's disease|
Etoposide|C491|||Hypereosinophilic syndrome; Kaposi's sarcoma; Langerhans cell histiocytosis; Mobilization of peripheral-blood progenitor cells; Multiple myeloma; Neuroblastoma; Non-small lung cancer; Osteogenic sarcoma|
Etoposide|C491|||Ovarian cancer; Retinoblastoma; Small cell lung cancer; Soft tissue sarcomas; Testicular cancer; Thymoma; Thyroid cancer; Uterine cancer; Wilms' tumor|
Etoposide Phosphate|C1093|||Acute leukemia; Adrenal cortical cancer; Brain cancer; Chronic lymphocytic leukemia; Choriocarcinoma; Esophageal cancer; Ewings sarcoma; Gastric cancer; Germ cell cancer; Gestational trophoblastic neoplasms|
Etoposide Phosphate|C1093|||Hepatocellular cancer; Hodgkins disease; Hypereosinophilic syndrome; Kaposis sarcoma; Testicular cancer; Thymoma; Thyroid cancer; Uterine cancer; Wilms tumor|
Etoposide Phosphate|C1093|||Langerhans cell histiocytosis; Mobilization of peripheral-blood progenitor cells; Multiple myeloma; Neuroblastoma; Non-small lung cancer; Osteogenic sarcoma; Ovarian cancer; Retinoblastoma; Small cell lung cancer; Soft tissue sarcomas|
Everolimus|C48387|||with unresectable, locally advanced or metastatic neuroendocrine tumors of pancreatic origin|
Exemestane|C1097|||Estrogen Receptor-Positive Early Breast Cancer; early and advanced-stage breast cancer|
Exisulind|C1239|||Colonic adenomatous polyps in the inherited disease adenomatous polyposis coli, control and suppression|
Ezogabine|C72839|||Seizures|
Fat Emulsion|C2575|||Caloric Supplementation and Essential Fatty Acid Deficiency.|
Fentanyl Citrate|C47994|||breakthrough pain in cancer patients.|
Fibrin Sealant|C2664|||Cardiovascular Surgery; Colostomy Closure; Congenital Heart Defects; Coronary Artery Bypass Grafting; Mediastinal Bleeding; Microvascular Bleeding; Splenic Trauma.|
Fidaxomicin|C66979|||Clostridial Infection|
Filgrastim|C1474|||Aplastic neutropenia; Bone marrow transplantation; Cancer patients receiving myelosuppressive chemotherapy; Congenital neutropenia; Idiopathic or cyclic neutropenia; Peripheral blood progenitor cell mobilization|
Floxuridine|C504|||Gastrointestinal adenocarcinoma metastatic to the liver|
Fluconazole|C500|||Antifungal, prophylaxis in allogeneic bone marrow transplantation; Candidiasis; Cryptococcal meningitis|
Fludarabine|C1094|||Acute nonlymphocytic leukemia; Chronic lymphocytic leukemia; Indolent Non - Hodkins Lymphoma|
Fludeoxyglucose F-18|C964|||Radiopharmaceutical, cancer diagnostic|
Fluocinonide|C29056|||plaque-type psoriasis|
Fluorouracil|C505|||Palliative treatment: Colorectal cancer, Breast cancer, Stomach cancer, Pancreatic cancer. Topical treatment for the following: Superficial basal cell carcinoma that cannot be treated with surgery, and Actinic keratosis.|
Fluoxetine|C506|||Depression|
Flutamide|C509|||Hirsutism; Prostate carcinoma|
Fosfestrol|C1105|||Advanced Prostate Cancer; palliative treatment of breast cancer in postmenopausal women and in men|
Fospropofol Disodium|C74118|||Monitored Anesthesia Care (MAC) Sedation|
Fresolimumab|C63546|||Idiopathic pulmonary fibrosis, focal segmental glomerulosclerosis, and cancer|
Fulvestrant|C1379|||Hormone receptor-positive metastatic breast cancer|
Gabapentin|C1108|||Management of Epilepsy; Pain; Mania; Depression and Anxiety Disorders; Postherpetic Neuralgia|
Gabapentin Enacarbil|C79579|||Treatment of neuropathic pain and restless legs syndrome|
Gadobutrol|C70675|||Diagnostic Magnetic Resonance Imaging|
Gadopentetate Dimeglumine|C2588|||Angiography for Leptomeningeal Metastases and Multiple Sclerosis and Magnetic Resonance Imaging for Spine and Brain.|
Galsulfase|C74207|||mucopolysaccharidosis VI (MPS-VI, or Maroteaux-Lamy syndrome).|
Ganciclovir|C517|||Cytomegalovirus (CMV) Infections in Immunocompromised Patients.|
Gefitinib|C1855|||Non-Small Cell Lung Carcinoma|
Gemcitabine Hydrochloride|C961|||Bladder cancer; Breast cancer; Carcinoma of unknown primary origin; Lung cancer; including non-small cell lung cancer; Ovarian cancer; Pancreatic cancer; Renal cell carcinoma|
Gemtuzumab Ozogamicin|C1806|||Acute Myeloid Leukemia.|
Glutamic Acid Hydrochloride|C28515|||Gastric Acidifier.|
Glutamine|C522|||Short bowel syndrome|
Golnerminogene Pradenovec|C26444|||Treatment of solid tumors including pancreatic cancer|
Goserelin|C1374|||Breast cancer; Endometrial-thinning; Endometriosis; In vitro fertilization; Prostate cancer|
Goserelin Acetate|C1417|||Breast Carcinoma; Prostate Carcinoma; Endometriosis|
Granisetron|C62031|||Chemotherapy induced nausea or vomiting|
Granisetron Hydrochloride|C1353|||Chemotherapy- and postoperative-induced nausea and vomiting, treatment and prophylaxis|
Haemophilus Influenzae B Vaccine|C1126|||Haemophilus influenzae B prophylaxis|
Halofuginone Hydrobromide|C2656|||Scleroderma and Antiprotozoal; Coccidiosis (Vet).|
Heparin|C539|||Conditions requiring anticoagulation (thrombosis; embolism)|
Human Papillomavirus 16 E7 Peptide|C25758|||Cervical cancer vaccine (TA-HPV) component|
Human Papillomavirus Tumor Antigen Vaccine|C2403|||Cervical cancer|
Hydromorphone Hydrochloride|C436|||pain in opioid-tolerant patients.|
Hydroxocobalamin|C65868|||Cyanide Poisoning|
Hydroxychloroquine|C557|||Malaria; Rheumatoid arthritis|
Hydroxyprogesterone Caproate|C960|||Endometrial cancer; amenorrhea|
Hydroxyurea|C560|||Chronic Myelogenous Leukemia; Head and Neck Cancer; Malignant Melanoma; Ovarian Carcinoma; Sickle Cell Anemia; Adjuvant in Retroviral Therapy.|
Hyperbaric Oxygen|C2351|||Various diseases or injuries associated with hypoxia|
Ibandronate Sodium|C1670|||Osteoporosis, treatment and prevention|
Idarubicin|C562|||Acute myeloid leukemia; acute nonlymphocytic leukemia|
Idarubicin Hydrochloride|C1587|||In combination therapies for acute myelogenous leukemia and pediatric acute lymphocytic leukemia.|
Idursulfase|C65883|||mucopolysaccharidosis II (MPS-II, or Hunter syndrome)|
Ifosfamide|C564|||Breast cancer; gastric carcinoma; lung cancer; lymphocytic leukemias; lymphoma; Hodgkins and Non-Hodgkins; ovarian cancer; pancreatic carcinoma; sarcomas; testicular cancer|
Imagabalin|C83785|||general anxiety disorder|
Imatinib Mesylate|C1687|||Philadelphia chromosome-positive chronic myelogenous leukemia and acute lymphocytic leukemia, gastrointestinal stromal tumor, hypereosinophillic syndrome, dermatofibrosarcoma protuberans, mutated-PDGFR myelodysplastic/myeloproliferative diseases.|
Imiglucerase|C65896|||Gaucher's disease|
Imiquimod|C1431|||Condyloma; Superficial Basal Cell Carcinoma; Actinic Keratosis|
Immunoglobulin|C572|||Bacterial infection, prevention in CLL, HIV infection and bone marrow transplant; Immunodeficiency syndromes|
In 111 Satumomab Pendetide|C1469|||Radiodetection of ovarian cancer|
Indacaterol Maleate|C81640|||Treatment of chronic obstructive pulmonary disease (COPD)|
Indomethacin|C576|||Dysmennorhea; Inflammatory disorders; Pain|
Infliximab|C1789|||Ankylosis spondylitis; Crohns disease; Plaque psoriasis; Rheumatoid arthritis; Sarcoidosis|
Iobenguane I-131|C970|||Diagnostic imaging; Neuroendocrine tumors.|
Iodine I 131 Tositumomab|C2444|||CD-20-antigen-expressing, relapsed or refractory, low-grade, follicular, or transformed Non-Hodgkins lymphoma|
Iodine I-131|C1639|||Hyperthyroidism|
Ioflupane I-123|C80644|||Visualization of Dopamine Transporters in Patients with Suspected Parkinsonian Syndromes|
Ipilimumab|C2654|||Unresectable or Metastatic Melanoma|
Irinotecan Hydrochloride|C1381|||State IVB Cervical cancer; Colorectal cancer; Esophageal cancer; Gastric cancer; Non-small cell lung cancer; Small cell lung cancer|
Iron Sucrose Injection|C60883|||Treatment of iron deficiency for both dialysis and non-dialysis patients with kidney disease, with or without concurrent erythropoietin therapy.|
Isosulfan Blue|C1386|||Diagnostic imaging|
Isotretinoin|C603|||Severe recalcitrant nodular acne; psoriasis; cornification disorders; cutaneous T-cell lymphoma; juvenile metastatic neuroblastoma and leukemia|
Ixabepilone|C37452|||metastatic or locally advanced breast cancer.|
Juven|C26656|||Wasting syndrome, nutritional supplement|
Ketoconazole|C605|||Seborrheic Dermatitis; Prostate cancer|
Kunecatechins Ointment|C67049|||Genital and Perianal Warts|
Lamivudine|C1471|||Chronic hepatitis B; HIV infection|
Lapatinib Ditosylate|C66878|||HER2 positive metastatic breast cancer|
Larazotide|C81350|||Treatment of inflammatory and autoimmune diseases|
Laropiprant|C87372|||Treatment of atherosclerosis, dyslipidemia, and related conditions when administered with niacin|
Lenalidomide|C2668|||Transfusion-dependent anemia due to low- or intermediate-1 risk myelodysplastic syndrome; multiple myeloma|
Lenograstim|C49234|||Chemotherapy-induced neutropenia|
Letrozole|C1527|||Hormone receptor-positive early breast cancer; Delayed puberty; Endometrial cancer; Ovulatory induction|
Leucovorin Calcium|C607|||Megaloblastic anemia due to folate deficiency; Enhanced fluorouracil inhibition of thymidylate synthase; Reverse dihydrofolate reductase inhibition by methotrexate; Folic acid antagonist overdose; Nitrous Oxide toxicity|
Leuprolide Acetate|C1319|||Endometriosis; In-vitro fertilization; Precocious puberty; Premenstrual syndrome; Prostate cancer; Uterine fibroid tumors|
Levamisole Hydrochloride|C610|||Stage III Colon Cancer|
Levetiracetam|C47581|||Treating partial-onset seizures in patients with epilepsy.|
Levocarnitine|C26657|||Carnitine deficiency; End-stage renal disease|
Levocetirizine Dihydrochloride|C72814|||Allergy Symptoms in Children Six Months and Older|
Levoleucovorin Calcium|C66721|||Colorectal Cancer|
Lidocaine|C614|||Cardiac arrhythmias; Local anesthetic|
Linaclotide|C81001|||Treatment of irritable bowel syndrome with constipation (IBS-C), chronic constipation and other gastrointestinal disorders|
Linaclotide Acetate|C77223|||Irritable Bowel Syndrome with Constipation and Chronic Idiopathic Constipation|
Linagliptin|C83887|||Diabetes Mellitus Type II|
Liposomal Cytarabine|C2388|||Lymphomatous meningitis|
Liposomal Daunorubicin Citrate|C2213|||Acute Nonlymphocytic Leukemia; Acute Lymphocytic Leukemia; Advanced HIV-associated Karposi Sarcoma.|
Lomitapide Mesylate|C83892|||Hypercholesterolemia and hypertriglyceridemia|
Lomustine|C617|||Brain tumors; Hodgkins disease|
Lonaprisan|C71532|||Treatment of progesterone receptor positive breast cancer|
Lovastatin|C620|||Atherosclerosis; Coronary heart disease, prevention; Hypercholesterolemia|
Lubiprostone|C66040|||Chronic Constipation|
Lymphokine-Activated Killer Cells|C13008|||Adoptive immunotherapy|
Maalox|C1149|||Gastritis, gastroesophageal reflux, peptic ulcer disease.|
Macitentan|C87728|||Pulmonary arterial hypertension, idiopathic pulmonary fibrosis, oncology|
Mechlorethamine Hydrochloride|C627|||Bronchogenic carcinoma; chronic lymphocytic and myelcytic leukemia; Hodgkins dieseas, palliative; lymphosarcoma; mycosis fungoides; polycythemia vera|
Medroxyprogesterone|C629|||Breast carcinoma; Contraception; Endometrial carcinoma; Renal cell carcinoma|
Megestrol|C630|||Anorexia; breast and endometrial carcinoma, palliative; cachexia|
Megestrol Acetate|C1156|||Appetite enhancement, AIDS patients; Breast cancer, palliative treatment; Endometrial carcinoma, palliative treatment|
Melphalan|C633|||Breast cancer; neuroblastoma; palliative treatment of multiple myeloma and nonresectable epithelial ovarian carcinoma; rhabdomyosarcoma|
Mercaptopurine|C195|||Acute lymphocytic leukemia; Acute myelogenous leukemia; Crohns disease; Hodgkins lymphoma in children; Lymphoblastic lymphoma; Ulcerative colitis|
Meropenem|C1160|||Gram positive and gram-negative intra-abdominal infections; bacterial meningitis|
Mesalamine|C29249|||Ulcerative Colitis and Proctitis|
Mesna|C192|||Ifosfamide-induced hemorrhagic cystitis, prophylaxis|
Methionine C 11|C1534|||PET radiopharmaceutical|
Methotrexate|C642|||Abortion; Bladder cancer; Breast cancer; Carcinomatous; meningitis; Chorioadenoma destruens; Crohn's disease; Ectopic pregnancy; Esophageal cancer; Gestational choriocarcinoma|
Methotrexate|C642|||Graft versus host disease-prophylaxis; Head/neck cancer; Hydatidiform mole; Leukemia; meningeal; Lymphomas; Acute Lymphoblastic Leukemia; Burkitt's; Lung cancer; Mycosis fungoides; Osteosarcoma; Psoriasis; Rheumatoid arthritis; Wegener's granulomatosis|
Methoxsalen|C643|||Cutaneous T-cell lymphoma; psoriasis; vitiligo|
Methoxy Polyethylene Glycol-Epoetin beta|C38687|||Anemia Associated with Chronic Renal Failure|
Methylene Blue|C644|||Cyanide poisoning, antidote; Diagnostic, indicator dye; Genitourinary antiseptic; Glutaricaciduria; Methemoglobinemia; Oxalate and phosphate urinary tract calculi, management|
Methylphenidate Hydrochloride|C646|||ADHD; narcolepsy|
Methylprednisolone|C647|||Adrenocortical insufficiency; Conditions requiring immunosuppression; Inflammatory conditions; Multiple Sclerosis; Nephrotic syndrome|
Milnacipran|C78021|||Fibromyalgia|
Miltefosine|C1170|||Skin metastasis of breast cancer|
Mirabegron|C90633|||Overactive bladder with symptoms of urge incontinence|
Mitomycin|C1820|||Gastric Carcinoma|
Mitomycin|C1820|||Pancreatic Adenocarcinoma|
