Interferon Alfa-N1|C2220|B18.2|Chronic viral hepatitis C|Chronic Hepatitis C|
Interferon Beta-1A|C1823|G35|Multiple sclerosis|Multiple sclerosis|
Iodine I-125|C1841|C61|Malignant neoplasm of prostate|Prostate Cancer|
Itraconazole|C1138|B35-B49.9|Mycoses|Fungal Infections|
Itraconazole|C1138|B49|Unspecified mycosis|Fungal Infections|
Lamotrigine|C38703|G40|Epilepsy|Epilepsy|
Latrepirdine|C78757|G30|Alzheimer's disease|Alzheimer's disease|
Latrepirdine Dihydrochloride|C78758|G30|Alzheimer's disease|Alzheimer's disease|
MGV Vaccine|C2068|C43|Malignant melanoma of skin|Malignant melanoma|
MGV Vaccine|C2068|C43.9|Malignant melanoma of skin, unspecified|Malignant melanoma|
Magnesium Sulfate|C623|G40|Epilepsy|Epilepsy|
Monobenzone|C992|L80|Vitiligo|Vitiligo|
Nebivolol|C66221|I10|Essential (primary) hypertension|Hypertension|
Nebivolol|C66221|I10-I15.9|Hypertensive diseases|Hypertension|
Nilutamide|C1173|C61|Malignant neoplasm of prostate|Prostate cancer|
Nisoldipine|C29291|I10|Essential (primary) hypertension|Hypertension|
Nisoldipine|C29291|I10-I15.9|Hypertensive diseases|Hypertension|
Nolatrexed Dihydrochloride|C1577|C22.0|Liver cell carcinoma|Hepatocellular carcinoma|
Noscapine Hydrochloride|C61103|R05|Cough|Cough|
Ofatumumab|C66952|C91.1|Chronic lymphocytic leukaemia|chronic lymphocytic leukemia|
Olsalazine|C1176|K51|Ulcerative colitis|Ulcerative colitis|
Oxycodone Hydrochloride|C48010|R52.9|Pain, unspecified|Pain|
Pantoprazole Sodium|C61877|K21|Gastro-oesophageal reflux disease|Gastroesophageal Reflux Disease|
Pegaspargase|C1200|C91.0|Acute lymphoblastic leukaemia|Acute lymphoblastic leukemia|
Phenobarbital|C739|G40|Epilepsy|Epilepsy|
Phenytoin|C741|G40|Epilepsy|Epilepsy|
Phosphomannopentaose Sulfate|C38690|C43|Malignant melanoma of skin|Malignant melanoma|
Phosphomannopentaose Sulfate|C38690|C43.9|Malignant melanoma of skin, unspecified|Malignant melanoma|
Plovamer|C96526|G35|Multiple sclerosis|Multiple Sclerosis|
Plovamer Acetate|C96530|G35|Multiple sclerosis|Multiple Sclerosis|
Quetiapine Fumarate|C47700|F20|Schizophrenia|Schizophrenia|
Ranpirnase|C1183|C45|Mesothelioma|Mesothelioma|
Recombinant Interferon Beta|C495|G35|Multiple sclerosis|multiple sclerosis|
Recombinant Thyroglobulin|C884|E03.9|Hypothyroidism, unspecified|Hypothyroidism|
Rilpivirine|C76929|B20-B24.9|Human immunodeficiency virus [HIV] disease|HIV Infection|
Rilpivirine|C76929|B24|Unspecified human immunodeficiency virus [HIV] disease|HIV Infection|
Rivastigmine|C66519|G30|Alzheimer's disease|Alzheimer's Disease|
Roflumilast|C76890|J44.9|Chronic obstructive pulmonary disease, unspecified|Chronic Obstructive Pulmonary Disease (COPD)|
Rosuvastatin Calcium|C61933|I70|Atherosclerosis|Atherosclerosis|
Solanezumab|C88585|G30|Alzheimer's disease|Alzheimer's Disease|
Tadalafil|C47743|N40|Hyperplasia of prostate|Benign Prostatic Hyperplasia|
Tamsulosin Hydrochloride|C29486|N40|Hyperplasia of prostate|Benign Prostatic Hyperplasia|
Tanespimycin|C37899|C92.1|Chronic myeloid leukaemia|Chronic Myelogenous Leukemia|
Telaprevir|C81603|B18.2|Chronic viral hepatitis C|Chronic Hepatitis C|
Teplizumab|C88647|E10|Insulin-dependent diabetes mellitus|Type I Diabetes|
Teriflunomide|C76662|G35|Multiple sclerosis|Multiple Sclerosis|
Travoprost|C47766|H40|Glaucoma|Glaucoma|
Travoprost|C47766|H40-H42.9|Glaucoma|Glaucoma|
Triamcinolone Acetonide|C48027|J30.4|Allergic rhinitis, unspecified|Allergic Rhinitis|
Vandetanib|C2737|C73|Malignant neoplasm of thyroid gland|Thyroid Cancer|
Veltuzumab|C48406|C83.1|Small cleaved cell (diffuse)|non-Hodgkin's lymphoma|
Veltuzumab|C48406|C83.1|Small cleaved cell (diffuse) non-Hodgkin's lymphoma|non-Hodgkin's lymphoma|
Veltuzumab|C48406|C85.9|Non-Hodgkin's lymphoma, unspecified type|non-Hodgkin's lymphoma|
Vitamin B Complex|C940|E53.9|Vitamin B deficiency, unspecified|Vitamin B deficiency|
Vitamin E Compound|C942|E56.0|Deficiency of vitamin E|Vitamin E deficiency|
Yttrium Y 90 Resin Microspheres|C64539|C22.0|Liver cell carcinoma|Hepatocellular carcinoma|
Yttrium Y-90 Ibritumomab Tiuxetan|C1812|C83.1|Small cleaved cell (diffuse)|Non-Hodgkin's Lymphoma|
Yttrium Y-90 Ibritumomab Tiuxetan|C1812|C83.1|Small cleaved cell (diffuse) non-Hodgkin's lymphoma|Non-Hodgkin's Lymphoma|
Yttrium Y-90 Ibritumomab Tiuxetan|C1812|C85.9|Non-Hodgkin's lymphoma, unspecified type|Non-Hodgkin's Lymphoma|
