Abdominal sepsis 	C1141926
Pruritus allergic 	C1504346
glycogen metabolism 	C0599784
Allergic rhinitis 	C2607914
rhinitis; allergic, with asthma 	C1387164
Hypersensitivity 	C0020517
Streptokinase allergy 	C0572009
Alopecia Areata 	C0002171
Acute Lymphoblastic Leukemia 	CL324419
Acute lymphocytic leukemia 	C0023449
Precursor Cell Lymphoblastic Leukemia Lymphoma 	C1961102
Alpha-1 Antitrypsin Deficiency 	C0221757
	
The science and art of healing 	C0039796
Alveolar echinococcosis 	C0948954
Alzheimer's Disease 	C0002395
Age related macular degeneration 	C0242383
eye allergy 	C0852875
Amino acid supplement 	C0556082
Infection due to anaerobic bacteria 	C0854328
Anastomotic ulcer 	C1442968
Deficiency of testosterone biosynthesis 	C0342527
Androgenetic Alopecia 	C0162311
Response to antigens 	C1314973
Androgen Therapy 	C0279493
Androgenization 	C1452968
Vitamin B12 deficiency anemia 	C2004521
Anemia of pregnancy 	C0271930
Anemia 	C0002871
Allergic Reaction 	C1527304
Alopecia 	C0002170
Angina Pectoris 	C0002962
von Willebrand Disease 	C0042974
Angioplasty 	C0162577
Ankylosing spondylitis 	C0038013
Anogenital pruritus, unspecified 	C0003107
Anovulation 	C0003128
Antiandrogen Therapy 	C0279492
anticancer drug 	CL422732
Antiestrogen Therapy 	C0854638
Amebiasis 	C0002438
Antineoplastic Agents 	C0003392
Topical Anti-Infective Agent 	C0003205
Antithrombin III Deficiency 	C0272375
Aphthous Stomatitis 	C0038363
Acute Promyelocytic Leukemia 	C0023487
Leukemia, Myelocytic, Acute 	C0023467
Amyloidosis 	C0002726
Apolipoproteins B 	C0003593
Amyotrophic Lateral Sclerosis 	C0002736
Riboflavin Deficiency 	C0035528
thyrotoxicosis, heart manifestation 	C1399200
Pruritus Ani 	C0033775
anaphylaxis 	C0002792
Other anaphylactic shock 	C0375697
Arterial thrombosis 	C0151942
Arteriosclerosis 	C0003850
Arteriovenous disorder 	C0729993
Andropause 	C0232984
Arthritis 	C0003864
Arthropathy 	C0022408
  arthrosis or osteoarthritis of spine 	C2895255
Ascariasis 	C0003950
Ascorbic Acid Deficiency 	C0003969
Asthmatic bronchitis 	C1319018
Cough variant asthma 	C0694548
Atheroma 	C0264956
Atherosclerosis 	C0004153
Atrial Arrhythmia 	C0085611
Rhinitis, Atrophic 	C0035459
Attention Deficit Disorder 	C0041671
Autoimmune Disease 	C0004364
Avascular necrosis 	C0221247
B-Cell Non-Hodgkin Lymphoma 	CL415026
Back Pain 	C0004604
Septic bronchitis 	C0264344
Bacterial conjunctivitis 	C0009768
Bacterial Infections 	C0004623
Bacterial keratitis 	C0854211
Bacterial Pneumonia 	C0004626
General Anesthesia 	C0002915
Sinusitis bacterial 	C1262006
Poisoning by barbiturate 	C0161558
Contraception, Barrier 	C0004764
Bartholinitis 	C0004769
Benign prostatic hypertrophy 	C0005001
Beri Beri 	C0005122
beta Thalassemia 	C0005283
Biliary cirrhosis 	C0023892
Biliary Colic 	C0151824
Local anesthesia 	C0002921
Disorder of biotin 	C0268680
Anemia, Diamond-Blackfan 	C1260899
Carcinoma of bladder 	C0699885
cellular diagnosis, bladder cancer 	C0279879
Bladder Neoplasm 	C0005695
Blastomycosis 	C0005716
Blepharitis 	C0005741
Blood Coagulation Disorders 	C0005779
Angioedema 	C0002994
Angioedemas, Hereditary 	C0019243
Bone Diseases 	C0005940
Anthrax disease 	C0003175
malignant neoplasm of bone marrow 	C2703042
Bone marrow transplant rejection 	C0340990
Bone Marrow Transplantation 	C0005961
Anxiety 	C0003467
Bone neoplasms 	C0005967
Bowel cleansing solution 	C0358527
Bradycardia 	C0428977
Brain Abscess 	C0006105
Brain Ischemia 	C0007786
Operation on brain 	C0195775
Brain Neoplasms 	C0006118
Malignant neoplasm of breast 	C0006142
Mammary Neoplasms 	C1458155
Bronchogenic Carcinoma 	C0007121
C/O bronchial catarrh 	C0581865
Chesty cough 	C0451597
Bronchopneumonia 	C0006285
Bronchospasm 	C0006266
Aphthous ulcers lips, gingiva, buccal mucosa 	C1968595
Burkitt Lymphoma 	C0006413
Burn injury 	C0006434
Burns and Wounds 	C0595940
Bursitis 	C0006444
Calcium Channel Blockers 	C0006684
Calcium Metabolism Disorders 	C0006705
Calcium supplementation 	C1096745
Malignant Neoplasms 	C0006826
cancer pain 	C0596240
Capillary Fragility 	C0006905
Carcinoid Tumor 	C0007095
Cervical Adenocarcinoma 	C0279672
Carcinoma in situ of bladder 	C0154091
Cardiac Arrest 	C0018790
cardiac arrhythmia 	C0003811
Edema, Cardiac 	C0013608
Myocardial Ischemia 	C0151744
Anxiety Adverse Event 	C1963064
Aplastic Anemia 	C0002874
Heart Transplantation 	C0018823
Heart Diseases 	C0018799
Cardiovascular Diseases 	C0007222
Cataract 	C0086543
Mucositis 	C0333355
Cell Transplantation 	C0206153
Central Diabetes Insipidus 	C0687720
CEREBROVASCULAR ARTERIOSCLEROSIS 	C0877854
Cerebral Edema 	C0006114
Cerebral Palsy 	C0007789
Cerebrovascular accident 	C0038454
Cerebral Thrombosis 	C0079102
Cerebrovascular Disorders 	C0007820
Cerebrovascular Insufficiencies 	C0241832
Essential Hypertension 	C0085580
cervical; arthrosis 	C1388724
Arteritis 	C0003860
Cervix carcinoma 	C0302592
Neck Arthritis 	C0263854
Anemia due to chemotherapy 	C1998329
Cheyne-Stokes Respiration 	C0008039
Cholecystitis 	C0008325
Cholelithiasis with other cholecystitis 	C0810311
Invasive Hydatidiform Mole 	C0008493
Choriocarcinoma 	C0008497
Pain in elbow 	C0239266
Choroid Neoplasm 	C0008523
Chromium deficiency 	C0268093
chronic bronchitis, asthmatic obstructive 	C1390714
Arthralgia 	C0003862
Chronic Bronchitis 	C0008677
Aspergillosis 	C0004030
Chronic Conjunctivitis 	C0155145
Asthma 	C0004096
Chronic cough 	C0010201
Chronic eczema 	C0263222
Chronic idiopathic urticaria 	C0578870
Chronic kidney disease, unspecified 	C1561643
Chronic liver disease 	C0341439
Chronic maxillary sinusitis 	C0008698
Emphysematous bronchitis 	C0155874
Pancreatitis, Chronic 	C0149521
Chronic necrotizing pulmonary aspergillosis 	C0343858
Chronic Rhinitis 	C0008711
Chronic thyroiditis 	C0242520
Chronic urticaria 	C0263338
Cirrhosis 	C1623038
Hemophilia A 	C0019069
Myeloid Leukemia, Chronic 	C0023473
Central Nervous System Infectious Disorder 	C0007684
Cognitive defects 	C1856145
Cognition Disorders 	C0009241
Abdominal colic 	C0232488
Colic, Infantile 	C0266836
Colon Carcinoma 	C0699790
Atrial Fibrillation 	C0004238
adjuvant chemotherapy prescribed or received for stage IIIA through IIIC colon cancer 	C2367460
Colorectal Cancer 	C1527249
Attention-Deficit/Hyperactivity Disorder, Predominantly Inattentive Type 	C0339002
Congenital Combined Immunodeficiency 	C0494261
Autistic Disorder 	C0004352
Meningitis, Bacterial 	C0085437
Barrett Esophagus 	C0004763
Basal cell carcinoma 	C0007117
Basal Cell Carcinoma Pathway 	CL422123
Chronic Lymphocytic Leukemia 	C0023434
B-CELL MALIGNANCY, LOW-GRADE 	C1868683
Common Variable Immunodeficiency 	C0009447
Congenital adrenal hyperplasia 	C0001627
Hereditary factor I deficiency disease 	C0019250
Congenital agammaglobulinemia 	C1318505
B-cell chronic lymphocytic leukemia variant 	C0475774
Behcet Syndrome 	C0004943
Benign Neoplasm 	C0086692
Conn Syndrome 	C1384514
Biliary Tract Cancer 	C0750952
Bipolar Disorder 	C0005586
Bipolar disorder NEC 	C0855233
Hypocupremia 	C0268070
Corneal Ulcer 	C0010043
Coronary heart disease 	C0010068
Hip Osteoarthritis 	C0029410
Other and unspecified bipolar disorders 	C1456309
Malignant neoplasm of urinary bladder 	C0005684
Creutzfeldt-Jakob disease 	C0022336
Crohn Disease 	C0010346
Meningitis, Cryptococcal 	C0085436
Cushing Syndrome 	C0010481
Cutaneous Lupus Erythematosus 	C0024137
Pruritus 	C0033774
Bladder Cancer Pathway 	CL421867
Blast lung 	C0349512
pruritus NOS 	C1534992
Toxic effect of cyanide 	C0238080
VITAMIN B 12 DEFICIENCY 	C0042847
Cystinosis 	C0010690
Cystinuria 	C0010691
Cytomegalovirus Infections 	C0010823
Interstitial and deep keratitis 	C0155087
Blood Substitute 	C0005836
Dehydration 	C0011175
Delayed Puberty 	C0034012
Dental caries 	C0011334
Toothache 	C0040460
Dental surgical procedure 	C0204324
Osteomyelitis 	C0029443
Depressive disorder 	C0011581
Malignant Bone Neoplasm 	C0279530
Diabetes Mellitus 	C0011849
Diabetic Vascular Disorder 	C0011875
Botulism 	C0006057
Diabetes with coma disorder 	C1263960
Diabetic foot ulcer 	C1456868
diabetic hyperglycaemia 	C0850855
Diabetic hypoglycemia NOS 	C0865166
Diabetic Neuropathies 	C0011882
Diabetic Polyneuropathies 	C0271680
Diabetic Retinopathy 	C0011884
Female Breast Carcinoma 	C0007104
Breast Carcinoma 	C0678222
Bronchiectasis 	C0006267
Bronchitis 	C0006277
Brucellosis 	C0006309
Digestive enzyme 	C0544420
Lupus Erythematosus, Discoid 	C0024138
Disseminated Intravascular Coagulation 	C0012739
Burn Adverse Event 	C1962979
Coronary Artery Bypass Surgery 	C0010055
Cachexia 	C0006625
Drug Allergy 	C0013182
Drug toxicity 	C0013221
Canavan Disease 	C0206307
Drug-induced dyspepsia 	C0576721
Dry cough 	C0850149
Dry eczema 	C1277265
Dryness of eye 	C0314719
Dry skin 	C0151908
Cancer Genus 	C0998265
Duodenal Cancer 	C0541912
Duodenal Ulcer 	C0013295
duodenitis 	C0013298
Primary Malignant Neoplasm 	C1306459
Malignant Carcinoid Syndrome 	C0024586
Duodenogastric Reflux 	C0013299
ESOPHAGEAL REFLUX DYSPEPSIA 	C0743583
Stroke Volume 	C0038455
Cardiac Surgery procedures 	C0018821
Cardiac care 	C0150158
Otitis Media 	C0029882
Ear Inflammation 	C0029877
Ectopic ACTH 	C0444629
Contraception, Emergency 	C0558252
Endocarditis 	C0014118
Endometrial Hyperplasia 	C0014173
Endometrial Carcinoma 	C0476089
Cardiogenic Shock 	C0036980
Cardiotoxicity 	C0876994
Angiolymphoid hyperplasia 	C0017531
Catabolism 	C0699900
Epididymitis 	C0014534
Episcleritides 	C0014583
Esophageal Diseases 	C0014852
Ulcer of esophagus 	C0151970
ESOPHAGEAL VARICES 	C0014867
Esophagitis 	C0014868
Gastro-esophageal reflux disease with esophagitis 	C0677659
Essential Thrombocythemia 	C0040028
Celiac Disease 	C0007570
Oestrogen deficiency 	C0853662
Estrogen Replacement Therapy 	C0014935
GOITER, EUTHYROID 	C0302859
Disorder of eye 	C0015397
Cerebral hemisphere hemorrhage 	C0007784
Cerebral Hemorrhage 	C2937358
Eye Infection 	C0015403
EYE IRRITATION 	C0235266
Facial Neuralgia 	C0015467
HYPOPROTHROMBINEMIA 	C0020640
Hemophilia B 	C0008533
Factor V Deficiency 	C0015499
Factor XI Deficiency 	C0015523
Factor XIII Deficiency 	C0015530
Chagas Disease 	C0041234
Chagas Disease Pathway 	CL422126
Hypercholesterolemia, Familial 	C0020445
Fatigue 	C0015672
Fatty Liver 	C0015695
Female hypogonadism syndrome 	C0271578
Female infertility 	C0021361
Chlamydia psittaci infection 	C0276108
Cholera 	C0008354
CHOLESTASIS 	C0008370
Female sexual dysfunction 	C1112442
Chronic Fatigue Syndrome 	C0015674
Chronic granulomatous 	C0332214
Thrombolytic Therapy 	C0040044
Granulomatous Disease, Chronic 	C0018203
ANEMIA FOLIC ACID DEFICIENCY 	C0151482
Kidney Failure, Chronic 	C0022661
Follicular atopic dermatitis 	C0406237
Chronic Kidney Insufficiency 	C0403447
Lymphoma, Follicular 	C0024301
Cervical Intraepithelial Neoplasia 	C0206708
 FSH/LH - Follicle stimulating hormone/luteinizing horm level result 	C1318274
Food Allergy 	C0016470
Liver Cirrhosis 	C0023890
Poisoning, Food 	C0016479
Chronic Lymphoid Leukemia 	CL408589
Cockayne Syndrome 	C0009207
Pedal Edema 	C0574002
Cognitive defects variable from mild to severe 	C2678442
Foreign body, intraocular, unspecified 	C0375246
Colitis 	C0009319
Fungal ear infection 	C0729545
Foot infection fungal NOS 	C0744131
Fungal infection of hair 	C0343855
Fungal keratitis 	C1262117
Intestinal Cancer 	C0346627
Meningitis, Fungal 	C0085438
Oral fungal infection 	C0877048
Anogenital venereal warts 	C0009663
Conjunctivitis 	C0009763
Tinea Capitis 	C0040250
Fungal septicemia 	C2960008
Dermatomycoses 	C0011630
Dermatophytosi, tinea, ringworm, skin fungal infection 	C1578895
Candidiasis 	C0006840
Arthrodermataceae 	C0011635
Onychomycosis 	C0040261
Tinea 	C0040247
Tinea corporis disorder 	C0040252
Other superficial mycoses 	C0494104
Constipation 	C0009806
Tinea cruris 	C1384589
Malassezia Furfur Infection 	C0040262
Constipation Adverse Event 	C1963087
Cholecystolithiasis 	C0947622
Gastritis 	C0017152
Dyspepsia 	C0013395
Contraceptive methods 	C0700589
Chronic Obstructive Airway Disease 	C0024117
GASTRIC HYPERACIDITY	
Gastric lymphoma 	C0349532
Stomach ache 	C0221512
Gastric ulcer 	C0038358
Peptic Ulcer 	C0030920
Gastroduodenitis 	C0267166
Obstructive chronic bronchitis with acute exacerbation 	C0155876
Bacterial gastrointestinal infectious disease 	C0729521
Gastrointestinal Diseases 	C0017178
Chronic obstructive pulmonary disease with acute exacerbation, unspecified 	C0348817
Gastrointestinal hormone-secreting endocrine tumor 	C0342562
Fungal gastrointestinal infection 	C0729549
Gastrointestinal Hemorrhage 	C0017181
Gastrointestinal Infection 	C1264613
Inflammatory Bowel Diseases 	C0021390
Gastrointestinal inflammation 	C1535950
Asthma Pathway 	CL422144
Gastroenteritis 	C0017160
Chronic asthmatic bronchitis 	C0264348
Gastroesophagitis 	C0392034
INJURY, CORNEA, ABRASION 	C0010032
Gastrointestinal Motility 	C0017184
Gastrointestinal Pain 	C0687713
Bowel spasm 	C0426649
Gastric spasm 	C0581358
Coronary Artery Disease 	C1956346
High Risk Gastrointestinal Stromal Tumor 	C1266137
Gastrointestinal Stromal Tumors 	C0238198
Gastroparesis 	C0152020
genital herpes 	C0019342
Corticosteroid 	CL414520
Therapeutic Corticosteroid 	C0001617
Sexually Transmitted Diseases, Bacterial 	C0036917
Coughing 	C0010200
Urinary tract infection bacterial 	C1096222
Candidiasis of urogenital site 	C1290821
Genitourinary System Infection 	C1279264
Inflammatory disorder of genitourinary system 	C1298757
Entire genitourinary tract 	C1283794
Trichomonas Infections 	C0040921
Cough Adverse Event 	C1961131
Gastroesophageal reflux disease 	C0017168
Gestational Diabetes 	C0085207
Cryptosporidiosis 	C0010418
Acute gingivitis 	C0155937
Ulcerative gingivitis 	C0239740
Glomerulonephritis 	C0017658
glucose metabolism 	C0596620
Glutaric aciduria 	C0268594
Cystic Fibrosis 	C0010674
Glycogen Storage Disease 	C0017919
Glycosuria 	C0017979
Cystitis 	C0010692
Hypogonadotropic hypogonadism 	C0271623
Gonarthrosis 	C0877389
Arthritis, Gouty 	C0003868
Graft-vs-Host Disease 	C0018133
Salmonella infections 	C0036117
Gonococcal urethritis 	C0018078
Staphylococcal Infections 	C0038160
Deep Vein Thrombosis 	C0149871
Somatotropin deficiency 	C0271561
Ulceration of gingivae 	C0392378
Venous Thrombosis 	C0042487
Delivery system 	C0449914
Gynecology 	C0018417
Dementia 	C0497327
Female genital infection 	C0729565
Gynecological Surgical Procedure 	C0038902
Dengue Fever 	C0011311
Hair Diseases 	C0018500
Dental 	C0226984
Hair growth 	C0232407
Hashimoto Disease 	C0677607
Malignant Head and Neck Neoplasm 	C0278996
Head and Neck Neoplasms 	C0018671
Headache 	C0018681
Heart failure 	C0018801
Heartburn 	C0018834
Hematopoietic Process 	C0018951
Act Code - Dental 	C1561520
Hemochromatosis 	C0018995
Hemolytic Disease of the Newborn 	C0014761
Mental Depression 	C0011570
Anemia due to blood loss 	C0948824
Hemorrhagic episodes 	C2674164
CVA; hemorrhagic 	C1394286
Hemorrhagic Disorders 	C0019087
Hemorrhagic gastropathy 	C0941011
hemorrhagic; fever, hemorrhagic 	C1404386
Hemorrhoids 	C0019112
Heparin induced thrombocytopenia screening test 	C1319556
Liver Abscess, Amebic 	C0023886
Hereditary Coproporphyria 	C0162531
Cold Sore 	C0019345
facial; herpes 	C1397116
Primary herpes simplex infection of lips 	C1274315
Herpes Simplex Infections 	C0019348
Herpes zoster keratitis 	C1275687
Meningitis herpes 	C0863159
Reticulosarcoma 	C0024302
Dermatitis 	C0011603
HIV Infections 	C0019693
Dermatosis 	CL414637
House dust allergy 	C0339807
MRI brain procedure 	C0412675
Mucopolysaccharidosis I 	C0023786
uncontrolled type I diabetes mellitus with peripheral neuropathy diagnosis 	C2119284
Hurler-Scheie Syndrome 	C0086431
Diabetes Insipidus 	C0011848
Hydatidiform Mole 	C0020217
Diabetic macular edema 	C0730285
Hyperaldosteronism 	C0020428
Humoral hypercalcemia of malignancy disorder 	C0149911
Hypercalcemia 	C0020437
Hypercalcemia associated with chronic dialysis 	C0341716
Diabetic Nephropathy 	C0011881
hyperglyceridemia; hypercholesterolemia 	C1399947
Hypergammaglobulinemia 	C0020455
Hyperinsulinemic hypoglycemia 	C1864903
Hyperinsulinism 	C0020459
hyperkalemia 	C0020461
Hyperkalemia, diminished renal excretion 	C0268024
Hyperlipidemia 	C0020473
Hyperlipoproteinemia Type IIa 	C0745103
Hyperlipoproteinemia Type IIb 	C1704417
Hyperlipoproteinemia Type III 	C0020479
diagnosis 	C1704338
Diagnosis 	C0011900
Diagnosis:Impression/interpretation of study:Point in time:^Patient:Narrative 	C0944984
Diagnosis:Impression/interpretation of study:Point in time:^Patient:Nominal 	C0945731
Hyperlipoproteinemia Type IV 	C0020480
Hyperlipoproteinemia Type V 	C0020481
Hyperphenylalaninaemias 	C0751435
Hyperphosphatasaemia 	C1262008
Hypertension with pheochromocytoma 	C1397267
struma; hyperthyroidism 	C1410337
Dialysis procedure 	C0011946
Hypocalcemia 	C0020598
HYPOCHLOREMIA 	C0085680
Asiderotic anemia 	C0008272
Hypochromic anemia 	C0002884
HYPOGAMMAGLOBULINEMIA 	C0086438
Diarrhea 	C0011991
Hypoglycemia 	C0020615
Testicular hypogonadism 	C0151721
Klinefelter Syndrome 	C0022735
Female hypogonadotropic hypogonadism 	C0271579
Hypokalemia 	C0020621
hypoleukocytosis 	C1400222
HYPOMAGNESEMIA 	C0151723
Hypopituitarism 	C0020635
Hypothalamic amenorrhea 	C0341862
Congenital hypothyroidism with diffuse goiter 	C0342149
Nontoxic goiter 	C0221777
Thyroid-stimulating hormone, deficiency of	C2973643
Idiopathic sideroblastic anemia 	C0475708
Immunodeficiency Syndrome 	C0021051
Immunoglobulins 	C0021027
Diphtheria 	C0012546
Immunoglobulin deficiency 	C0745242
Increased Glucagon Secretion [PE] 	C1382401
Hyperstimulation of ovaries associated with induced ovulation 	C2903152
Infective eczematoid dermatitis 	C0085658
Epstein-Barr Virus Infection 	C0149678
Communicable Diseases 	C0009450
Infective Endocarditis 	C1541923
cough; bronchial, with grippe or influenza 	C1390687
influenza A 	C2062441
Influenza B virus infection 	C0858005
Diseases of inner ear 	C0494559
Diabetes Mellitus, Insulin-Dependent 	C0011854
Interstitial Nephritis 	C0027707
Slipped lumbar disc 	C0856301
Amebic colitis 	C0013370
Other specified intervertebral disc displacement 	C0477627
Pathological Dilatation 	C0012359
Intestinal trichomoniasis 	C0411268
Intestinal Neoplasm 	C0021841
ASPERGILLOSIS, INVASIVE 	C0238013
Iodine deficiency syndrome 	C0342199
Iron deficiency 	C0240066
Iron deficiency anemia 	C0162316
iron poisoning 	C0353744
Iron replacement 	C0919650
Irritable Bowel Syndrome 	C0022104
Ischemic cardiomyopathy 	C0349782
Ischemic stroke 	C0948008
Purpura, Thrombocytopenic, Idiopathic 	C0043117
IUD contraception 	C0344221
Dendritic Keratitis 	C0022570
Drug Dependence 	C1510472
Kidney Diseases 	C0022658
Mental and behavioral disorders due to use of opioids, unspecified mental and behavioral disorder 	C0349111
Nephritis 	C0027697
Kidney Calculi 	C0022650
Renal transplant rejection 	C0238217
Lactase deficiency disorder 	C0302813
Acidosis, Lactic 	C0001125
Laryngitis 	C0023067
hypercholesterolemia 	C0020443
Lead Poisoning 	C0023176
Lecithin Acyltransferase Deficiency 	C0023195
Leg Ulcer 	C0023223
Fibroid Tumor 	C0023267
Lipid Metabolism Disorders 	C0154251
Malignant neoplasm of liver 	C0345904
Drug Design 	C0013171
Drug Discovery 	C0920472
Liver diseases 	C0023895
overdose 	C0029944
Hepatitis 	C0019158
Drug induced optic neuropathy 	C1282226
Dwarfism 	C0013336
liver metabolism 	C1373178
Transplantation of liver 	C0023911
Lobar Pneumonia 	C0032300
Dysmenorrhea 	C0013390
Lower respiratory tract infection 	C0149725
Low Back Pain 	C0024031
arthrosis; spine 	C1388737
Lumbar Spondylitis 	C0281900
Malignant neoplasm of lung 	C0242379
Pneumonia 	C0032285
Lupus Erythematosus 	C0409974
Lupus Glomerulonephritis 	C0024143
LH - luteinizing hormone deficiency 	C0342387
LYMPHEDEMA 	C0024236
Small Cell Lymphoma 	C0024303
Meningeal Lymphoma 	CL426275
Lymphoma, Diffuse 	C0079734
Magnesium Deficiency 	C0024473
Magnesium supplementation 	C1096534
Male infertility 	C0021364
Male sexual dysfunction 	C1112443
Malnutrition 	C0162429
Manganese deficiency 	C0268090
Mucopolysaccharidosis VI 	C0026709
ANEMIA MEGALOBLASTIC 	C0002888
Meningitis 	C0025289
Meningitis, Listeria 	C0025293
Mental Fatigue 	C0015676
Mercury Poisoning 	C0025427
Pleural Mesothelioma 	C1377913
Metabolic Disorder 	C0025517
Stage IV Breast Cancer 	C0278488
Stage IV Colon Cancer AJCC v6 	C0861461
Colorectal cancer metastatic 	C0948380
Dysuria 	C0013428
Metastatic Melanoma 	C0860594
Renal cancer metastatic 	C0919976
Malignant solid tumor 	C1698088
Metastatic Malignant Testicular Germ Cell Tumor 	C1096715
Metastatic Malignant Neoplasm to the Bone 	C0153690
Metastatic Malignant Neoplasm to the Brain 	C0220650
Neoplasm Metastasis 	C0027627
Metastatic Malignant Neoplasm to the Large Intestine 	C0346973
Metastatic Carcinoid Tumor 	C1334715
Eating Disorders 	C0013473
Ebola-like viruses 	C0949892
Stage IV Gastric Cancer AJCC v6 	C0278498
LUNG, CARCINOMA, METASTATIC 	C0238254
Ebola Hemorrhagic Fever 	C0282687
Ebola virus 	C0013480
Eczema 	C0013595
Stage IV Non-Small Cell Lung Cancer 	C0278987
Stage IV Pancreatic Cancer 	C1167725
Metastatic Prostate Cancer 	C0936223
Small cell lung cancer metastatic 	C0746087
Methemoglobinemia 	C0025637
Methylmalonic acidemia 	C0268583
Disorder of middle ear 	C0271428
Disorder of mineral metabolism 	C0154260
Myxedema coma 	C0238298
Moraxella catarrhalis 	C0006132
Stomatitis, Herpetic 	C0038366
Oral infection 	C0555971
Inflammation of mouth 	C0877467
Oral Ulcer 	C0149745
Hard edema 	C0333252
Mucopolysaccharidosis II 	C0026705
endocrine; multiple adenoma, unspecified site 	C1386323
Multiple Myeloma 	C0026764
Myositis 	C0027121
Edema 	C0013604
Myopathy 	C0026848
Myalgia 	C0231528
musculoskeletal inflammation 	C1658600
Musculoskeletal Pain 	C0026858
Myeloid Leukemia 	C0023470
Myeloma 	CL324441
EKG hypertrophy 	C0232304
allergy; nasal 	C0847614
Rhinitis 	C0035455
Nasal infection 	C0555970
NASAL INFLAMMATION 	C2718128
Neisseria meningitidis 	C0027575
Vomiting Adverse Event 	C1963281
Neisseria meningitidis A 	C1441003
Neisseria meningitidis C 	C1441008
Bacterial sepsis of newborn 	C0456103
Meningeal Carcinomatosis 	C0220654
Nephrogenic Diabetes Insipidus 	C0162283
Vomiting 	C0042963
Pulmonary Emphysema 	C0034067
Neuritis 	C0027813
Neurodermatitis 	C0027822
Neurologic qualifier value 	C0205494
Encephalitis 	C0014038
Neuromuscular Blocking Agents 	C0027866
Neuromuscular disorders NEC 	C0852419
Malignant neoplasm of endocrine gland 	C0153658
Endocrine System Diseases 	C0014130
Neuropathic pain 	C0423716
Pellagra 	C0030783
Nicotine Withdrawal 	C0028047
Nocturnal cough 	C0231912
Diabetes Mellitus, Non-Insulin-Dependent 	C0011860
Uterine Corpus Cancer 	C1883486
ENDOMETRIAL CANCER allelic variant 	C2697363
Endometrial Cancer Pathway 	CL421916
Endometriosis, site unspecified 	C0014175
Endotoxic shock 	C0036981
Ear, nose and throat 	C0150934
Snake Bites 	C0037379
Gastric irritation 	C0392176
Enzyme Deficiency 	C0149676
Nonketotic Hyperglycinemia 	C0751748
Ependymoma 	C0014474
Diffuse nontoxic goiter or struma 	C0865135
Epilepsy 	C0014544
Normochromic anemia 	C0235983
Nosocomial pneumonia 	C0949083
Erectile dysfunction 	C0242350
Erectile Dysfunction Adverse Event 	C1961100
Dietary Supplements 	C0242295
Nutritional anemia 	C0271903
Erythropoietic Protoporphyria 	C0162568
C2015915	
Malignant neoplasm of esophagus 	C0546837
disease vascular occlusive 	C0750145
Eye allergy 	C0852875
Fabry Disease 	C0002986
FABRY DISEASE allelic variant 	C2700530
Fabry Disease 	CL412926
Adenomatous Polyposis Coli 	C0032580
Uterine Fibroids 	C0042133
Fibromyalgia 	C0016053
Eye Infections, Bacterial 	C0015404
Papilledema 	C0030353
Asthenopia 	C0004095
Fungal eye infections 	C0015405
Keratitis, Herpetic 	C0019357
Fracture Adverse Event 	C1963113
Fracture 	C0016658
Ocular Hypertension 	C0028840
Friedreich Ataxia 	C0016719
EYE INFLAMMATION 	C0239429
Female Sexual Arousal Disorder 	C0015786
Itching of eye 	C0022281
