Hypertension|C3117|C0020538|38341003|Hypertensive disorder, systemic arterial (disorder)|
Hypertrophic Cardiomyopathy|C34449|C0007194|233873004|Hypertrophic cardiomyopathy (disorder)|
Hypokalemic Periodic Paralysis|C84775|C0238358|82732003|Familial hypokalemic periodic paralysis (disorder)|
Idiopathic Pulmonary Fibrosis|C35716|C1800706|28168000|Idiopathic fibrosing alveolitis, chronic form (disorder)|
IgA Nephropathy|C34643|C0017661|236407003|IgA nephropathy (disorder)|
Ileitis|C84782|C0020877|52457000|Ileitis (disorder)|
Infantile Neuroaxonal Dystrophy|C84927|C0270724|52713000|Infantile neuroaxonal dystrophy (disorder)|
Jervell and Lange Nielsen Syndrome|C84793|C0022387|373905003|Jervell and Lange-Nielson syndrome (disorder)|
Kaposi Sarcoma|C9087|C0036220|49937004|Kaposi's sarcoma|
Kartagener Syndrome|C84797|C0022521|42402006|Kartagener syndrome (disorder)|
Kernicterus|C84799|C0022610|50143004|Kernicterus of newborn (disorder)|
Krabbe Disease|C61254|C0023521|192782005|Galactosylceramide beta-galactosidase deficiency (disorder)|
Lamellar Ichthyosis|C84805|C0079154|268245001|Harlequin fetus (disorder)|
Lateral Medullary Syndrome|C84807|C0043019|78569004|Posterior inferior cerebellar artery syndrome (disorder)|
Leber Hereditary Optic Atrophy|C84808|C0917796|58610003|Leber's optic atrophy (disorder)|
Leigh Disease|C84814|C0023264|29570005|Leigh's disease (disorder)|
Leishmaniasis|C34767|C0023281|80612004|Leishmaniasis (disorder)|
Lesch-Nyhan Syndrome|C61255|C0023374|124275001|Deficiency of hypoxanthine phosphoribosyltransferase (disorder)|
Lipoid Proteinosis of Urbach and Wiethe|C84829|C0023795|38692000|Lipid proteinosis (disorder)|
Liposarcoma|C3194|C0023827|189777004|[M]Liposarcoma NOS|
Lobular Breast Carcinoma In Situ|C4018|C0279563|109888004|Lobular carcinoma in situ of breast (disorder)|
Lymphoma|C3208|C0024299|188694002|Malignant lymphoma NOS|
Maroteaux-Lamy Syndrome|C61264|C0026709|52677002|Deficiency of N-acetylgalactosamine-4-sulfatase (disorder)|
Metachromatic Leukodystrophy|C61251|C0023522|44359008|Metachromatic leukodystrophy, juvenile type (disorder)|
Microsporidiosis|C84891|C0085407|65883009|Infection by Microspora (disorder)|
Monoclonal Gammopathy|C35548|C1136085|||
Mucopolysaccharidosis Type IIIC|C84899|C0086649|75238000|Mucopolysaccharidosis, MPS-III-C (disorder)|
Mucopolysaccharidosis Type IIID|C84900|C0086650|15892005|Mucopolysaccharidosis, MPS-III-D (disorder)|
Mucopolysaccharidosis Type IVB|C84902|C0086652|238044004|Mucopolysaccharidosis type IVB (disorder)|
Multiple Endocrine Neoplasia Type 2B|C3227|C0025269|61530001|Multiple endocrine neoplasia, type 3 (disorder)|
Multiple Sclerosis|C3243|C0026769|24700007|Multiple sclerosis (disorder)|
Muscular Dystrophy|C84910|C0026850|73297009|Muscular dystrophy (disorder)|
Muscular Dystrophy|C84910|C0026850|193225000|Hereditary progressive muscular dystrophy (disorder)|
Myelodysplastic Syndrome|C3247|C0026986|128623006|Myelodysplastic syndrome|
Myelodysplastic Syndrome|C3247|C0026986|109995007|Myelodysplastic syndrome (disorder)|
Myotonic Disorder|C84913|C0553604|193237003|Myotonic disorder (disorder)|
Nail-Patella Syndrome|C75120|C0027341|22199006|Nail-patella syndrome (disorder)|
Necrotizing Ulcerative Gingivitis|C34637|C0017575|172697005|Acute ulcerative gingivitis (disorder)|
Necrotizing Ulcerative Gingivitis|C34637|C1527368|172697005|Acute ulcerative gingivitis (disorder)|
Netherton Syndrome|C84922|C0265962|34638006|Lamellar ichthyosis AND trichorrhexis invaginata syndrome (disorder)|
Neuroendocrine Neoplasm|C3809|C0206754|255046005|Neuroendocrine tumor (disorder)|
Orthostatic Hypotension|C84970|C0020651|28651003|Orthostatic hypotension (disorder)|
Palmar Fibromatosis|C3469|C0013312|410812005|Dupuytren's disease (disorder)|
Palmar Fibromatosis|C3469|C0013312|203047009|Dupuytren's disease of palm, with contracture (disorder)|
Papillary Cystadenocarcinoma|C3777|C0206700|189687009|[M]Papillary cystadenocarcinoma, NOS|
Paraneoplastic Cerebellar Degeneration|C4685|C0393534|192877007|Paraneoplastic cerebellar degeneration (disorder)|
Penile Fibromatosis|C3316|C0030848|1335005|Induratio penis plastica (disorder)|
Petit Mal Epilepsy|C3023|C0014553|230413002|Juvenile absence epilepsy (disorder)|
Primary Hyperparathyroidism|C48280|C0221002|36348003|Primary hyperparathyroidism (disorder)|
Progressive Familial Intrahepatic Cholestasis|C84453|C0268312|74162007|Progressive intrahepatic cholestasis (disorder)|
Pseudohypoaldosteronism|C85034|C0033805|77098009|Pseudohypoaldosteronism (disorder)|
Pseudoxanthoma Elasticum|C85036|C0033847|239140003|Nevus elasticus (disorder)|
Pulmonary Blastoma|C3732|C0206629|43149009|Pulmonary blastoma|
Reflex Epilepsy|C85041|C0270857|79745005|Reflex epilepsy (disorder)|
Reflex Sympathetic Dystrophy Syndrome|C85042|C0034931|2103002|Reflex sympathetic dystrophy of upper extremity (disorder)|
Renal Cell Carcinoma|C9385|C0007134|254915003|Clear cell carcinoma of kidney (disorder)|
Renal Tubular Acidosis|C28129|C0001126|1776003|Renal tubular acidosis (disorder)|
Reye Syndrome|C34983|C0035400|74351001|Reye's syndrome (disorder)|
Schizophrenia|C3362|C0036341|58214004|Schizophrenia (disorder)|
Scleromyxedema|C85061|C0263390|111197009|Lichen myxedematosus (disorder)|
Seborrheic Keratosis|C9006|C0022603|50563003|Seborrheic dermatitis (disorder)|
Severe Acute Respiratory Syndrome|C85064|C1175175|398447004|Severe acute respiratory syndrome (disorder)|
Sickle Cell Disease|C34383|C0002895|417357006|Sickling disorder due to hemoglobin S (disorder)|
Sjogren-Larsson Syndrome|C85070|C0037231|111303009|Sjogren-Larsson Syndrome (disorder)|
Sly Syndrome|C84903|C0085132|43916004|Mucopolysaccharidosis, MPS-VII (disorder)|
Sweet Syndrome|C85177|C0085077|84625002|Acute febrile neutrophilic dermatosis (disorder)|
Syringomyelia|C85179|C0039144|111496009|Syringomyelia (disorder)|
Temporal Arteritis|C35065|C0039483|414341000|Giant cell arteritis (disorder)|
Thalassemia Major|C34375|C0005283|26682008|Homozygous beta thalassemia (disorder)|
Thanatophoric Dysplasia|C85187|C0039743|||
Trigger Finger Disorder|C85203|C0158328|1539003|Acquired trigger finger (disorder)|
Trisomy 12|C36420|C0432408|205653005|Trisomy 12 (disorder)|
Trisomy 8|C36396|C0432412|205649008|Trisomy 8 (disorder)|
Tuberous Sclerosis|C3424|C0041341|7199000|Tuberous sclerosis syndrome (disorder)|
Tularemia|C85208|C0041351|19265001|Tularemia (disorder)|
Urinary System Disorder|C3430|C0042075|128606002|Disorder of the urinary system (disorder)|
Valvular Heart Disorder|C45525|C0018824|368009|Heart valve disorder (disorder)|
Vascular Dementia|C34525|C0011269|56267009|Multi-infarct dementia (disorder)|
Visceral Larva Migrans|C34758|C0023049|87121004|Visceral larva migrans syndrome (disorder)|
von Willebrand Disease|C68677|C0042974|128105004|von Willebrand disorder (disorder)|
West Syndrome|C84788|C0037769|28055006|West syndrome (disorder)|
Wolf-Hirschhorn Syndrome|C35528|C1956097|17122004|4p partial monosomy syndrome (disorder)|
X-Linked Severe Combined Immunodeficiency|C4682|C2931540|||
Achondroplasia|C34345|C0001080|86268005|Achondroplasia (disorder)|
Acute Infective Polyneuritis|C26790|C0018378|129131007|Acute infective polyneuritis (disorder)|
Acute Liver Failure|C84396|C0162557|235884008|Fulminant hepatic failure (disorder)|
Acute Megakaryoblastic Leukemia|C3170|C0023462|52220008|Acute megakaryoblastic leukemia|
Acute Respiratory Distress Syndrome|C3353|C0035222|95437004|Non-cardiogenic pulmonary edema (disorder)|
Acute Respiratory Distress Syndrome|C3353|C0035222|67782005|Adult respiratory distress syndrome (disorder)|
Addison's Disease|C26689|C0001403|363732003|Addison's disease (disorder)|
Ainhum|C84544|C0001860|38528001|Ainhum (disorder)|
Alkaptonuria|C84546|C0002066|360378009|Homogentisate 1,2-dioxygenase deficiency (disorder)|
Amyotrophic Lateral Sclerosis|C34373|C0002736|86044005|Amyotrophic lateral sclerosis (disorder)|
Anaplastic Large Cell Lymphoma|C3720|C0206180|277637000|Large cell anaplastic lymphoma (disorder)|
Androgen Insensitivity Syndrome|C27226|C0936016|12313004|Androgen resistance syndrome (disorder)|
Angiofollicular Lymphoid Hyperplasia|C3056|C0017531|207036003|Castleman's disease (disorder)|
Anti-Glomerular Basement Membrane Disease|C84566|C0403529|||
Aplastic Anemia|C2870|C0002874|306058006|Aplastic anemia (disorder)|
Argininemia|C84568|C0268548|23501004|Arginase deficiency (disorder)|
Argininosuccinic Aciduria|C84569|C0268547|41013004|Argininosuccinate lyase deficiency (disorder)|
Arteriosclerosis|C34398|C0003850|72092001|Arteriosclerotic vascular disease (disorder)|
Arthrogryposis|C84572|C0003886|111246005|Arthrogryposis (disorder)|
Atrial Septal Defect|C84473|C0018817|70142008|Atrial septal defect (disorder)|
Autoimmune Polyendocrinopathy Syndrome|C84576|C0085409|41864002|Autoimmune polyendocrinopathy (disorder)|
Beckwith-Wiedemann Syndrome|C34415|C0004903|36193003|Thalidomide embryopathy syndrome (disorder)|
Benign Neoplasm|C3677|C0086692|3898006|Neoplasm, benign|
Benign Recurrent Intrahepatic Cholestasis|C84402|C0149841|31155007|Benign recurrent intrahepatic cholestasis (disorder)|
Bernard-Soulier Syndrome|C84595|C0005129|54569005|Bernard Soulier syndrome (disorder)|
Bernard-Soulier Syndrome|C84595|C0005129|234478007|Giant platelet syndrome (disorder)|
Bladder Disorder|C2900|C0005686|42643001|Disorder of urinary bladder (disorder)|
Bone Paget Disease|C3292|C0029401|2089002|Osteitis deformans (disorder)|
Botulism|C84599|C0006057|414531002|Intoxication with Clostridium botulinum toxin (disorder)|
Breast Carcinoma|C4872|C0678222|254838004|Carcinoma of breast (disorder)|
CADASIL Syndrome|C84606|C0751587|390936003|Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy (disorder)|
Campomelic Dysplasia|C84609|C1861922|74928006|Camptomelic dysplasia (disorder)|
Camurati-Engelmann Syndrome|C84610|C0011989|34643004|Diaphyseal dysplasia (disorder)|
Canavan Disease|C84611|C0206307|80544005|Spongy degeneration of central nervous system (disorder)|
Capillary Hemangioblastoma|C3801|C0206734|81201000|Hemangioblastoma|
Capillary Leak Syndrome|C62578|C0343084|87730004|Capillary leak syndrome (disorder)|
Carbohydrate-Deficient Glycoprotein Syndrome|C84615|C0282577|238049009|Carbohydrate-deficient glycoprotein syndrome (disorder)|
Cardiac Arrest|C50479|C0018790|410429000|Cardiac arrest (disorder)|
Cavernous Hemangioma|C3086|C0018920|416824008|Cavernous haemangioma (disorder)|
Cerebellar Degeneration|C84624|C0262404|95646004|Cerebellar degeneration (disorder)|
Cerebrotendinous Xanthomatosis|C84628|C0238052|63246000|Cholestanol storage disease (disorder)|
Cherubism|C84630|C0008029|76098004|Fibrous dysplasia of jaw (disorder)|
Choledochal Cyst|C2943|C0008340|398197009|Congenital choledochal cyst (disorder)|
Chondrodysplasia Punctata|C84632|C0008445|205486004|Chondrodysplasia punctata (disorder)|
Chromosome Disorder|C34470|C0008626|74345006|Congenital disorder due to abnormality of chromosome number OR structure (disorder)|
Common Variable Immunodeficiency|C26725|C0009447|23238000|Common variable agammaglobulinemia (disorder)|
Congenital Pure Red Cell Aplasia|C61236|C1260899|71988008|Aase syndrome (disorder)|
Cornelia De Lange Syndrome|C75016|C0270972|40354009|De Lange syndrome (disorder)|
CREST Syndrome|C70646|C0206138|31848007|Calcinosis, Raynaud's phenomenon, esophageal dysmotility, sclerodactyly, and telangiectasia (CREST) syndrome (disorder)|
Crigler-Najjar Syndrome|C84656|C0010324|28259009|Crigler-Najjar syndrome (disorder)|
Cryptogenic Cirrhosis|C84411|C0267809|89580002|Cryptogenic cirrhosis (disorder)|
Cutaneous T-Cell Non-Hodgkin Lymphoma|C3467|C0079773|400122007|Primary cutaneous T-cell lymphoma (disorder)|
Cysticercosis|C34520|C0010678|59051007|Cysticercosis (disorder)|
Deafness|C27644|C0011053|||
Diabetes Complication|C84415|C0342257|74627003|Diabetic complication (disorder)|
Diabetic Nephropathy|C84417|C0011881|54181000|Diabetes-nephrosis syndrome (disorder)|
Donohue Syndrome|C84676|C0265344|111307005|Leprechaunism syndrome (disorder)|
Dracunculiasis|C84677|C0013100|396334002|Infection by Dracunculus medinensis (disorder)|
Duane Syndrome|C84678|C0013261|60318001|Duane's syndrome (disorder)|
Encephalocele|C84687|C0014065|55999004|Encephalocele (disorder)|
Endometrial Stromal Sarcoma|C8973|C0206630|||
Epidermolytic Hyperkeratosis|C62569|C0079153|239071005|Epidermolytic palmoplantar keratoderma of Vorner (disorder)|
Epithelioid Hemangioma|C4298|C0205788|33929001_56646017|Epithelioid hemangioma|
Erythromelalgia|C34593|C0014804|37151006|Erythromelalgia (disorder)|
Facioscapulohumeral Muscular Dystrophy|C84704|C0238288|399091004|Facioscapulohumeral muscular dystrophy (disorder)|
Factor I Deficiency|C26692|C0001733|234621005|Factor I deficiency (disorder)|
Familial Benign Pemphigus|C82865|C0085106|79468000|Familial benign pemphigus (disorder)|
Familial Dysautonomia|C84706|C0013364|29159009|Familial dysautonomia (disorder)|
Focal Dermal Hypoplasia|C84715|C0016395|2298005|Goltz syndrome (disorder)|
Fucosidosis|C61274|C0016788|64716005|Fucosidosis (disorder)|
Gaucher Disease|C61268|C0017205|180485001|Kerasin thesaurismosis (disorder)|
Gerstmann-Straussler-Scheinker Disease|C84727|C0017495|67155006|Gerstmann-Straussler-Scheinker syndrome (disorder)|
Glycogen Storage Disease Type II|C84734|C0017921|237968007|Lysosomal alpha-1,4-glucosidase deficiency - infantile onset (disorder)|
Graves' Disease|C3071|C0018213|367367004|Basedow's disease (disorder)|
Great Vessels Transposition|C84742|C0040761|204296002|Discordant ventriculoarterial connection (disorder)|
Hairy Cell Leukemia|C7402|C0023443|54087003_89898013|Hairy cell leukemia|
Hartnup Disease|C84748|C0018609|124208000|Deficiency of tryptophan 2,3-dioxygenase (disorder)|
Hemangiopericytoma|C3087|C0018922|36060005_60174016|Hemangiopericytoma|
Hemolytic Anemia|C34376|C0002878|61261009|Hemolytic anemia (disorder)|
Hereditary Fructose Intolerance|C84720|C0016751|20052008|Fructose-1,6-bisphosphate aldolase B deficiency (disorder)|
Holmes-Adie Syndrome|C34357|C0001519|24225004|Tonic pupillary reaction (disorder)|
Holoprosencephaly|C74988|C0079541|30915001|Holoprosencephaly sequence (disorder)|
Hyperhomocysteinemia|C84770|C0598608|419503008|Hyperhomocysteinemia (disorder)|
Ichthyosis Vulgaris|C84778|C0079584|20512000|Dominant congenital ichthyosiform erythroderma (disorder)|
IgA Nephropathy|C34643|C0017661|68779003|Primary IgA nephropathy (disorder)|
Infantile Refsum Disease|C84789|C0282527|238062008|Infantile Refsum's disease (disorder)|
Insomnia|C28286|C0917801|193462001|Insomnia (disorder)|
Interstitial Cystitis|C27189|C0282488|197834003|Chronic interstitial cystitis (disorder)|
Irritable Bowel Syndrome|C82343|C0022104|10743008|Irritable colon (disorder)|
Kallmann Syndrome|C75479|C0162809|93559003|Hypogonadism with anosmia (disorder)|
Kearns-Sayre Syndrome|C84798|C0022541|25792000|Kearns-Sayre syndrome (disorder)|
Klinefelter Syndrome|C34752|C0022735|405769009|Klinefelter's syndrome, XXY (disorder)|
Klippel-Trenaunay-Weber Syndrome|C84801|C0022739|59078009|Klippel-Trenaunay-Weber syndrome (disorder)|
Kluver-Bucy Syndrome|C84802|C0270707|10651001|Temporal lobectomy behavior syndrome (disorder)|
Krukenberg Tumor|C3153|C0022790|4305004|Metastatic signet ring cell carcinoma|
Lafora Disease|C84804|C0751783|230425004|Lafora disease (disorder)|
Langerhans Cell Histiocytosis|C3107|C0019621|65399007|Langerhans cell histiocytosis (disorder)|
Lennox-Gastaut Syndrome|C84816|C0238111|230418006|Lennox-Gastaut syndrome (disorder)|
LEOPARD Syndrome|C84820|C0175704|111306001|Multiple lentigines syndrome (disorder)|
Lewy Body Dementia|C84826|C0752347|312991009|Senile dementia of the Lewy body type (disorder)|
Lymphoma|C3208|C0024299|118600007|Malignant lymphoma (disorder)|
Malignant Pineal Region Neoplasm|C3573|C0153655|363483004|Malignant tumor of pineal gland (disorder)|
Marfan Syndrome|C34807|C0024796|19346006|Marfan's syndrome (disorder)|
Maroteaux-Lamy Syndrome|C61264|C0026709|69463008|Maroteaux-Lamy syndrome (disorder)|
Megaloblastic Anemia|C34382|C0002888|53165003|Megaloblastic anemia (disorder)|
Metachromatic Leukodystrophy|C61251|C0023522|396338004|Metachromatic leucodystrophy (disorder)|
Monilethrix|C84894|C0546966|69488000|Beaded hair (disorder)|
Muir-Torre Syndrome|C84905|C1321489|403824007|Torré-Muir syndrome (disorder)|
Multi-Infarct Dementia|C34522|C0011263|56267009|Multi-infarct dementia (disorder)|
Multiple Acyl-CoA Dehydrogenase Deficiency|C84907|C0268596|22886006|Glutaric aciduria, type 2 (disorder)|
Myositis|C27578|C0027121|128496001|Inflammatory disorder of muscle (disorder)|
Neuroacanthocytosis|C84926|C0393576|26848004|Chorea acanthocytosis syndrome (disorder)|
Neuronal Ceroid Lipofuscinosis|C61257|C0027877|42012007|Neuronal ceroid lipofuscinosis (disorder)|
Nevoid Basal Cell Carcinoma Syndrome|C2892|C0004779|69408002|Gorlin syndrome (disorder)|
Ochronosis|C84938|C0028817|410042009|Ochronosis due to homogentisate 1,2-dioxygenase deficiency (disorder)|
Oculopharyngeal Muscular Dystrophy|C84942|C0270952|||
Ornithine Transcarbamylase Deficiency|C84960|C0268542|80908008|Ornithine carbamoyltransferase deficiency (disorder)|
Palmar Fibromatosis|C3469|C0013312|274142002|Dupuytren's contracture (disorder)|
Pancreatic Endocrine Carcinoma|C3770|C0496784|254612002|Carcinoma of endocrine pancreas (disorder)|
Pancreatitis|C3306|C0030305|75694006|Pancreatitis (disorder)|
Pantothenate Kinase-Associated Neurodegeneration|C84988|C0018523|||
Paraganglioma|C3308|C0030421|72787006|Gangliocytic paraganglioma|
Parathyroid Gland Carcinoma|C4906|C0687150|255037004|Parathyroid carcinoma (disorder)|
Pars Planitis|C34903|C0030593|314428001|Posterior cyclitis (disorder)|
Perthes Disease|C34766|C0023234|111255008|Avascular necrosis of the capital femoral epiphysis (disorder)|
Pick's Disease|C85008|C0236642|13092008|Pick's disease (disorder)|
Piebaldism|C85009|C0080024|6479008|Partial albinism (disorder)|
Plummer-Vinson Syndrome|C85016|C0032249|80126007|Plummer-Vinson syndrome (disorder)|
Polymyositis|C26925|C0085655|31384009|Polymyositis (disorder)|
Polyostotic Fibrous Dysplasia|C34610|C0016065|36517007|Polyostotic fibrous dysplasia of bone (disorder)|
Precocious Puberty|C79704|C0034013|123527003|Precocious sexual development (disorder)|
Primary Hypertrophic Osteoarthropathy|C85023|C0029411|223726008|Pachydermoperiostosis of nail (disorder)|
Primary Sclerosing Cholangitis|C4828|C0566602|197441003|Primary sclerosing cholangitis (disorder)|
Progeria|C34951|C0033300|238870004|Hutchinson-Gilford syndrome (disorder)|
Pseudotumor Cerebri|C85035|C0033845|68267002|Benign intracranial hypertension (disorder)|
Pulmonary Embolism|C50713|C0034065|59282003|Pulmonary embolism (disorder)|
Reflex Sympathetic Dystrophy Syndrome|C85042|C0034931|50642008|Algodystrophy (disorder)|
Renal Failure|C4376|C0035078|42399005|Renal failure syndrome (disorder)|
Renal Neoplasm|C3150|C0022665|126880001|Neoplasm of kidney (disorder)|
Retinal Neoplasm|C4800|C0524801|127002001|Neoplasm of retina (disorder)|
Retinoblastoma|C7541|C0035335|370967009|Retinoblastoma (disorder)|
Rett Syndrome|C75488|C0035372|68618008|Rett's disorder (disorder)|
Sarcoidosis|C34995|C0036202|31541009|Sarcoidosis (disorder)|
Seborrheic Keratosis|C9006|C0022603|398838000|Senile hyperkeratosis (disorder)|
Severe Combined Immunodeficiency|C3472|C0085110|31323000|Severe combined immunodeficiency disease (disorder)|
Sex Cord-Stromal Tumor|C3794|C0206724|71440001|Sex cord-stromal tumor|
Skin Basal Cell Carcinoma|C2921|C0007117|399049001|Eosinophilic ulcer of lip (disorder)|
Skin Basal Cell Carcinoma|C2921|C0007117|254701007|Basal cell carcinoma of skin (disorder)|
Skin Basal Cell Carcinoma|C2921|C0007117|189573003|[M]Basal cell carcinoma NOS|
Spasmodic Torticollis|C85072|C0152116|74333002|Spasmodic torticollis (disorder)|
Squamous Cell Carcinoma|C2929|C0007137|189566008|[M]Squamous cell carcinoma NOS|
Sturge-Weber Syndrome|C3391|C0038505|234143003|Parkes Weber syndrome (disorder)|
Sturge-Weber Syndrome|C3391|C0038505|19886006|Sturge-Weber sequence (disorder)|
Tabes Dorsalis|C35057|C0039223|316841006|Tabes dorsalis (disorder)|
